FrameID,Hip.Center.x,Hip.Center.y,Hip.Center.z,Hip.R.x,Hip.R.y,Hip.R.z,Knee.R.x,Knee.R.y,Knee.R.z,Ankle.R.x,Ankle.R.y,Ankle.R.z,Toe0Nub.R.x,Toe0Nub.R.y,Toe0Nub.R.z,Hip.L.x,Hip.L.y,Hip.L.z,Knee.L.x,Knee.L.y,Knee.L.z,Ankle.L.x,Ankle.L.y,Ankle.L.z,Toe0Nub.L.x,Toe0Nub.L.y,Toe0Nub.L.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,HeadNub.x,HeadNub.y,HeadNub.z,Shoulder.L.x,Shoulder.L.y,Shoulder.L.z,Elbow.L.x,Elbow.L.y,Elbow.L.z,Wrist.L.x,Wrist.L.y,Wrist.L.z,Shoulder.R.x,Shoulder.R.y,Shoulder.R.z,Elbow.R.x,Elbow.R.y,Elbow.R.z,Wrist.R.x,Wrist.R.y,Wrist.R.z
0,543.5331,520.6237,0,528.1131,520.0826,0,578.92,605.4432,0,582.4511,725.6571,0,618.8097,760.5005,0,558.6762,521.1551,0,594.4308,626.6616,0,500.0923,611.3265,0,482.9753,661.2715,0,549.4867,494.9603,0,555.8414,456.5685,0,559.56,417.4215,0,559.1021,376.3615,0,567.6753,362.5991,0,572.0375,308.4437,0,522.5496,391.7872,0,479.1003,464.9325,0,486.2276,531.3944,0,582.8252,390.9166,0,585.171,464.2535,0,644.7155,485.098,0
1,543.5331,520.6237,0,528.1131,520.0826,0,578.92,605.4432,0,582.4511,725.6571,0,618.8097,760.5005,0,558.6762,521.1551,0,594.4308,626.6616,0,500.0923,611.3265,0,482.9753,661.2715,0,549.4867,494.9603,0,555.8414,456.5685,0,559.56,417.4215,0,559.1021,376.3615,0,567.6753,362.5991,0,572.0375,308.4437,0,522.5496,391.7872,0,479.1003,464.9325,0,486.2276,531.3944,0,582.8252,390.9166,0,585.171,464.2535,0,644.7155,485.098,0
2,577.9859,524.2758,0,562.1288,523.7686,0,606.9909,617.1677,0,582.0241,725.7216,0,618.6639,760.4346,0,593.5604,524.774,0,660.9791,611.8834,0,561.7565,622.4812,0,551.6128,679.6183,0,583.7237,497.9319,0,589.8558,458.5375,0,594.6601,418.7949,0,594.6589,376.793,0,604.8297,363.1563,0,610.4493,307.7585,0,561.8542,393.7235,0,524.5701,472.6915,0,540.2545,539.9272,0,611.9404,388.5969,0,609.1218,461.1052,0,673.3404,471.6016,0
3,617.3486,522.5252,0,601.1083,522.1345,0,628.7052,631.6614,0,584.3892,723.3732,0,619.4783,760.3468,0,633.3005,522.9089,0,721.5755,587.4141,0,625.3967,634.367,0,627.7698,698.2518,0,623.5573,495.7455,0,630.2593,455.3854,0,636.0645,414.6938,0,636.6251,371.7042,0,647.9761,357.7887,0,654.4109,301.1229,0,607.0894,388.4093,0,570.9832,469.8768,0,601.3708,533.969,0,648.8687,383.1661,0,642.4957,451.8521,0,708.708,442.3981,0
4,659.762,518.8536,0,643.165,518.6229,0,642.7139,639.7275,0,586.2703,720.4054,0,619.4158,760.6858,0,676.0648,519.0802,0,775.9916,569.9608,0,694.0003,652.1375,0,712.9644,718.3458,0,666.8877,491.827,0,674.6166,450.52,0,681.0326,408.6981,0,681.8362,364.7002,0,694.0274,350.3258,0,701.0139,292.3615,0,655.3066,380.1229,0,617.1711,462.6021,0,662.851,519.9446,0,690.2931,377.2882,0,682.8277,439.9003,0,744.1036,410.6251,0
5,704.455,514.2362,0,687.5366,514.1908,0,661.6739,634.7318,0,595.451,708.1304,0,620.0892,761.3218,0,721.0734,514.2808,0,825.3983,567.3229,0,763.7,674.9032,0,800.0424,737.736,0,712.6567,487.0578,0,721.5675,444.8004,0,728.4088,401.8726,0,729.2988,356.9094,0,742.1681,342.1095,0,749.6388,282.7976,0,705.7579,370.6749,0,664.9266,453.7031,0,724.451,501.5716,0,734.259,370.8959,0,727.0939,421.4769,0,781.6105,379.6858,0
6,750.5118,509.7526,0,733.3242,509.9177,0,689.0662,625.3964,0,614.7205,694.5491,0,618.7323,760.4235,0,767.3936,509.5905,0,871.2605,574.5792,0,833.4644,699.9619,0,885.8262,754.8602,0,759.621,482.3287,0,769.5172,439.0739,0,776.7484,395.1157,0,777.7017,349.1963,0,791.187,334.0804,0,799.0084,273.3464,0,757.5397,361.5411,0,712.538,444.1945,0,781.4479,484.1363,0,778.4088,363.8987,0,768.8203,400.5065,0,816.6996,350.4657,0
7,797.4569,505.0711,0,780.0349,505.5701,0,725.6004,618.4048,0,644.1038,682.571,0,628.0562,750.0334,0,814.567,504.581,0,913.335,585.3456,0,896.6362,721.0452,0,962.7229,763.8848,0,807.091,477.1971,0,817.6838,432.8895,0,825.1638,387.9321,0,826.0592,341.0523,0,840.0474,325.6647,0,847.5799,263.412,0,809.5612,352.2282,0,758.7551,432.7852,0,831.6602,470.2859,0,821.4464,355.5734,0,809.6542,384.507,0,853.4889,329.2548,0
8,845.7178,500.1285,0,828.2134,500.9644,0,766.8699,613.3062,0,678.6167,672.8657,0,653.2038,733.296,0,862.9039,499.308,0,953.4434,595.1924,0,955.0698,736.5759,0,1030.752,767.4545,0,855.6558,471.5758,0,866.6143,426.1424,0,874.1503,380.1761,0,874.8355,332.3416,0,889.2001,316.6348,0,895.2662,252.7469,0,860.8912,342.4306,0,803.0007,418.6741,0,875.8283,458.5469,0,866.0435,346.5817,0,854.7267,371.809,0,893.6575,311.2916,0
9,895.6964,496.6063,0,878.5225,497.4344,0,817.8785,616.1234,0,719.8586,663.4159,0,691.4062,721.3901,0,912.5442,495.794,0,983.8525,610.5118,0,1014.161,753.2203,0,1096.994,773.3542,0,905.8771,467.0123,0,916.676,420.3385,0,923.8743,373.343,0,923.9814,324.6525,0,938.5795,308.4479,0,943.0924,243.0052,0,909.9363,333.4543,0,854.2242,410.3933,0,929.2302,447.1628,0,914.7434,339.7315,0,909.5598,368.0286,0,940.5052,301.3922,0
