FrameID,Hip.Center.x,Hip.Center.y,Hip.Center.z,Hip.R.x,Hip.R.y,Hip.R.z,Knee.R.x,Knee.R.y,Knee.R.z,Ankle.R.x,Ankle.R.y,Ankle.R.z,Toe0Nub.R.x,Toe0Nub.R.y,Toe0Nub.R.z,Hip.L.x,Hip.L.y,Hip.L.z,Knee.L.x,Knee.L.y,Knee.L.z,Ankle.L.x,Ankle.L.y,Ankle.L.z,Toe0Nub.L.x,Toe0Nub.L.y,Toe0Nub.L.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,HeadNub.x,HeadNub.y,HeadNub.z,Shoulder.L.x,Shoulder.L.y,Shoulder.L.z,Elbow.L.x,Elbow.L.y,Elbow.L.z,Wrist.L.x,Wrist.L.y,Wrist.L.z,Shoulder.R.x,Shoulder.R.y,Shoulder.R.z,Elbow.R.x,Elbow.R.y,Elbow.R.z,Wrist.R.x,Wrist.R.y,Wrist.R.z
0,-0.008481602,0.2029875,-0.9711489,-0.1018856,0.2003742,-0.9738284,-0.1415573,0.5351683,-0.620124,-0.1030384,0.5197584,-0.1151267,-0.1601307,0.7715936,-0.002820373,0.0849224,0.205601,-0.9684693,0.1622717,0.3475201,-0.507336,0.0719848,-0.1486055,-0.5568447,0.1040979,-0.2940304,-0.318064,-0.006223729,0.2367265,-1.082851,-0.008320567,0.2767607,-1.248761,-0.01593976,0.3060674,-1.416732,-0.02386156,0.3108281,-1.593097,-0.02559228,0.3629444,-1.648883,-0.02261389,0.3856679,-1.879166,-0.2082823,0.2716104,-1.519042,-0.3220117,0.1238217,-1.209253,-0.3505646,0.1969227,-0.9270083,0.1686916,0.2728614,-1.542548,0.3020991,0.1649525,-1.224266,0.4219058,0.4146074,-1.128664
1,-0.008481602,0.2029875,-0.9711489,-0.1018856,0.2003742,-0.9738284,-0.1415573,0.5351683,-0.620124,-0.1030384,0.5197584,-0.1151267,-0.1601307,0.7715936,-0.002820373,0.0849224,0.205601,-0.9684693,0.1622717,0.3475201,-0.507336,0.0719848,-0.1486055,-0.5568447,0.1040979,-0.2940304,-0.318064,-0.006223729,0.2367265,-1.082851,-0.008320567,0.2767607,-1.248761,-0.01593976,0.3060674,-1.416732,-0.02386156,0.3108281,-1.593097,-0.02559228,0.3629444,-1.648883,-0.02261389,0.3856679,-1.879166,-0.2082823,0.2716104,-1.519042,-0.3220117,0.1238217,-1.209253,-0.3505646,0.1969227,-0.9270083,0.1686916,0.2728614,-1.542548,0.3020991,0.1649525,-1.224266,0.4219058,0.4146074,-1.128664
2,-0.01400473,0.4122976,-0.9563679,-0.1073059,0.4071624,-0.9589845,-0.1637881,0.7109258,-0.5804276,-0.1052128,0.5193319,-0.11502,-0.1609288,0.7715106,-0.003164411,0.0792964,0.4174329,-0.9537511,0.1490734,0.735482,-0.5894108,0.06881197,0.2393559,-0.52491,0.1085144,0.1402149,-0.2645437,-0.0126258,0.444204,-1.06862,-0.0140658,0.4807222,-1.235354,-0.02343385,0.5165843,-1.401959,-0.03658174,0.5284517,-1.577676,-0.03258227,0.5821347,-1.631836,-0.0295807,0.6108428,-1.861449,-0.2219352,0.5133694,-1.497668,-0.3407681,0.4140971,-1.170913,-0.3488025,0.5117897,-0.8948466,0.1508076,0.4596643,-1.541775,0.2851148,0.3242705,-1.234569,0.4219362,0.5787016,-1.18593
3,-0.01338587,0.6348744,-0.9648569,-0.1065539,0.6275259,-0.9668652,-0.169987,0.8329797,-0.5280796,-0.1042603,0.5318505,-0.1259048,-0.1623879,0.7771606,-0.004288793,0.07978214,0.6422231,-0.9628485,0.1566366,1.04831,-0.7021673,0.08544605,0.5933241,-0.4908307,0.1316075,0.5665664,-0.2145174,-0.01372956,0.6694469,-1.076321,-0.01266704,0.705248,-1.243212,-0.01776263,0.7412051,-1.409983,-0.02861702,0.7535482,-1.585824,-0.01897834,0.806325,-1.640164,-0.01886103,0.8404822,-1.86905,-0.214887,0.7569071,-1.506907,-0.3398957,0.6745564,-1.177762,-0.3136154,0.8144392,-0.9217091,0.1518436,0.6668267,-1.553668,0.3054153,0.5008172,-1.27153,0.4481052,0.7538383,-1.309487
4,-0.01082104,0.8620803,-0.9808435,-0.1038217,0.8527103,-0.9820243,-0.1598989,0.8980486,-0.4987359,-0.1065351,0.5445517,-0.1396598,-0.1629307,0.7773011,-0.002991855,0.08217962,0.8714505,-0.9796625,0.1687979,1.308663,-0.779388,0.1123319,0.9411198,-0.435198,0.164784,0.9978994,-0.1646045,-0.0134468,0.9017258,-1.090569,-0.008995842,0.9383758,-1.257218,-0.007589808,0.9704462,-1.424851,-0.01311708,0.9790711,-1.601161,0.001653541,1.029627,-1.656451,-0.002192531,1.068126,-1.884615,-0.2004698,0.9973845,-1.527325,-0.3359852,0.9172454,-1.201812,-0.2722216,1.095326,-0.97811,0.1615243,0.8823257,-1.566455,0.3456606,0.6936963,-1.318951,0.4563194,0.936909,-1.439048
5,-0.007313608,1.089512,-0.9998712,-0.1001248,1.078361,-1.00013,-0.1473594,0.9856582,-0.5226961,-0.1109978,0.6000766,-0.195973,-0.1625877,0.7806118,-0.0007415414,0.0854976,1.100662,-0.9996126,0.1769885,1.534901,-0.7950799,0.1374625,1.272028,-0.3637114,0.1955873,1.40427,-0.1221961,-0.0124564,1.134571,-1.107391,-0.004399075,1.172491,-1.273616,0.00359521,1.200025,-1.441869,0.003769557,1.204257,-1.618426,0.02312949,1.252367,-1.674478,0.0164227,1.293476,-1.902119,-0.1841642,1.235203,-1.550844,-0.3317958,1.154996,-1.230661,-0.2301768,1.360239,-1.047986,0.1730463,1.099995,-1.580252,0.3998519,0.8900065,-1.392611,0.4720391,1.118748,-1.560798
6,-0.003866961,1.312764,-1.017483,-0.09648942,1.300159,-1.01677,-0.1386559,1.117002,-0.5657235,-0.1176928,0.7121885,-0.2616997,-0.1603037,0.7713296,-0.003122568,0.08875544,1.325369,-1.018196,0.1808659,1.737561,-0.7724694,0.152387,1.588151,-0.2891381,0.2140068,1.780048,-0.0927338,-0.01136686,1.361654,-1.123172,-0.000133164,1.400074,-1.289094,0.01325196,1.424242,-1.457522,0.01783594,1.425395,-1.634067,0.04133238,1.471296,-1.690388,0.03116705,1.514419,-1.917528,-0.1694006,1.468315,-1.571573,-0.3322856,1.383498,-1.260092,-0.1952911,1.595312,-1.111135,0.1805587,1.311839,-1.595414,0.4322555,1.082505,-1.47376,0.4650015,1.297888,-1.669614
7,-0.00011419,1.52924,-1.035008,-0.09253425,1.51537,-1.032898,-0.1325727,1.29073,-0.6008075,-0.1158331,0.8678712,-0.3221438,-0.1367436,0.8007299,-0.04578769,0.09230587,1.543111,-1.037118,0.1773741,1.91982,-0.7377487,0.1454018,1.868997,-0.2346203,0.2049108,2.106257,-0.0954715,-0.01013608,1.579852,-1.13967,0.003627228,1.617871,-1.305494,0.02118607,1.639252,-1.473915,0.02894198,1.637988,-1.650348,0.05600737,1.681787,-1.706741,0.04215834,1.723961,-1.933864,-0.1565725,1.692037,-1.591736,-0.341058,1.600267,-1.294602,-0.1749333,1.799637,-1.15868,0.1829385,1.512724,-1.61487,0.4443758,1.277676,-1.530324,0.4537249,1.481113,-1.740911
8,0.004125115,1.740898,-1.052657,-0.0881727,1.726496,-1.049192,-0.1283806,1.481086,-0.6285676,-0.1128684,1.04365,-0.3733171,-0.1124593,0.9126974,-0.1219493,0.09642298,1.7553,-1.056121,0.1662449,2.090981,-0.7079682,0.1221786,2.122689,-0.2041862,0.1792904,2.383845,-0.1162562,-0.007730832,1.791502,-1.157131,0.007566876,1.828373,-1.323078,0.02818978,1.847173,-1.491461,0.0386067,1.843462,-1.667722,0.06777956,1.885752,-1.724216,0.04959647,1.922409,-1.95199,-0.1461381,1.903322,-1.612655,-0.3570062,1.802843,-1.33664,-0.1704413,1.980188,-1.196772,0.1863984,1.711137,-1.635668,0.4594419,1.48318,-1.570645,0.4458383,1.670277,-1.795657
9,0.007567834,1.950162,-1.064301,-0.08492845,1.937102,-1.060809,-0.1364116,1.714384,-0.6289369,-0.1170349,1.251119,-0.4245992,-0.1053156,1.101938,-0.1862638,0.1000641,1.963222,-1.067792,0.1311569,2.230751,-0.6600796,0.09652144,2.364905,-0.1726921,0.1528876,2.636882,-0.1274458,-0.003290674,1.998586,-1.16991,0.01255103,2.032857,-1.336363,0.0355506,2.048186,-1.504789,0.04914178,2.040528,-1.680706,0.0782361,2.08218,-1.737713,0.06126808,2.11009,-1.966817,-0.1379814,2.096772,-1.630217,-0.3591726,2.014459,-1.356274,-0.1531371,2.18129,-1.231623,0.1995813,1.912336,-1.647525,0.4920639,1.713065,-1.57343,0.4530351,1.871603,-1.816665
